id,question,category,source_manual,knowledge_point,novelty_reason,max_similarity_to_existing,risk_note,closest_existing_question
2032,佩戴VR头显前，为什么要清理大于游玩区域的活动空间？需要移开哪些障碍物？,cn_manual,VR头显手册,游玩区域障碍物清理,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.215,OK,"""为确保安全且最佳的使用效果，游玩区域的推荐尺寸是多少？"""
2046,为什么健身追踪器的数据不能作为医疗或科学诊断依据？,cn_manual,健身追踪器手册,手表非医疗用途,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.348,OK,"""健身追踪器能对手机的通知实现哪些功能？"""
2059,发电机民用、商业或租赁用途的保修期限有什么区别？,cn_manual,发电机手册,保修期限,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.34,OK,"""使用发电机的直流保护器时，我需要注意什么？"""
2060,发电机哪些情况不属于一般保修范围？,cn_manual,发电机手册,保修除外责任,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.293,OK,发电机使用燃油时有哪些易燃和有毒方面的安全提醒？
2085,烹饪结束后打开烤箱门时，为什么要先缓慢排出热空气或蒸汽？,cn_manual,烤箱手册,打开烤箱门排热,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.264,OK,发电机需要打开燃油开关供油时，具体操作步骤是什么？
2096,空气净化器为什么应避免安装在电视或电子设备3英尺以内？,cn_manual,空气净化器手册,电子设备距离,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.409,OK,"""如何清洁空气净化器的设备内外？"""
2098,为什么空气净化器不应使用非厂家推荐的滤网？,cn_manual,空气净化器手册,滤网兼容性,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.5,OK,"""如何清洁空气净化器的滤网？"""
2100,为什么空调手册建议保存购物小票并记录型号、序列号和购买日期？,cn_manual,空调手册,购买信息存档,来自中文手册中未被原公开题直接覆盖的安全、安装、维护、规格或操作知识点,0.192,OK,空调遥控器没电了，按照手册应该怎样更换电池？
2102,"What handling precautions help prevent damage to the camera body, LCD monitor, lens contacts, and CF card?",en_manual,Camera manual,camera handling precautions,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.439,OK,"""What safety precautions should be followed to ensure safe operation during this process?"""
2119,How can I silence the camera beeper from the menu?,en_manual,Camera manual,beeper silence,来自英文汇总手册中未被原公开题直接覆盖的操作、设置、维护或安全知识点,0.623,OK,How can I check the battery level on the landline phone?
