id,question,category,source_manual,knowledge_point,novelty_reason,max_similarity_to_existing,risk_note,closest_existing_question
2001,下单后想把收货地址从公司改到家里，如果订单已经部分发货，剩下的商品还能改地址吗？需要怎么处理？,service_policy,客服题,订单改地址/分仓前置,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.521,OK,我想修改收货地址，但订单已经发货了，还能拦截改址吗？
2002,同一个订单里的几件商品能合并发货吗？如果系统自动拆成多个包裹，会不会影响售后和发票？,service_policy,客服题,合并发货/拆单发货,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.478,OK,同一个订单里有两件商品，只退其中一件会影响发票吗？
2003,快递被放到驿站但我不方便去取，能要求重新派送到家吗？超过取件时间退回怎么办？,service_policy,客服题,自提点/驿站问题,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.29,OK,"""我购买的商品，快递送达时，我不在家，怎么办？"""
2004,我签收后才发现配件包不见了，但外包装没有破损，这种情况还能申请补发配件吗？,service_policy,客服题,签收后缺配件,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.349,OK,物流显示已签收但我没有收到货，这种情况要联系谁核实？
2005,大家电已经预约了送货时间，但我临时不在家，能不能改约？改约会不会产生费用？,service_policy,客服题,预约配送改期,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.295,OK,"""我购买的商品，快递送达时，我不在家，怎么办？"""
2006,正品没问题，但是随订单送的赠品坏了，赠品也能补发或维修吗？,service_policy,客服题,赠品售后,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.383,OK,收到赠品损坏了，可以单独补发赠品吗？
2007,我买的是套装商品，其中一个配件有问题，可以只换这个配件吗，还是必须整套退回？,service_policy,客服题,组合套装部分退换,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.393,OK,如果商品缺少配件但主机能用，可以只补发配件吗？
2008,我刚买完商品第二天就降价了，可以申请补差价吗？需要满足什么条件？,service_policy,客服题,补差价/价格保护,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.464,OK,我想了解价格保护规则，刚买完就降价可以退差价吗？
2009,电子发票已经开了，但是我在系统里一直下载不了，能重新发送到邮箱吗？,service_policy,客服题,电子发票下载失败,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.271,OK,"""我想取消订单，但是订单已经付款了，能全额退款吗？"""
2010,企业采购一批商品，能不能按部门或项目拆成多张发票？需要提前提供哪些信息？,service_policy,客服题,公司采购多张发票,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.29,OK,商品用了两天出现质量问题，可以换货还是只能维修？需要提供什么凭证？
2011,预售商品已经付了定金但不想付尾款了，定金能退吗？如果付了尾款后取消怎么算？,service_policy,客服题,预售尾款退款,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.317,OK,"""我想取消订单，但是订单已经付款了，能全额退款吗？"""
2012,我买的是定制刻字商品，商家还没发货，现在想取消订单，可以全额退款吗？,service_policy,客服题,定制商品取消,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.433,OK,"""我想取消订单，但是订单已经付款了，能全额退款吗？"""
2013,我在一个城市买的商品，搬家到外地后出现故障，还能在当地申请保修或上门维修吗？,service_policy,客服题,跨区保修,服务场景与原50题不同，聚焦地址、拆单、自提、赠品、定制、复检、价格保护等未覆盖场景,0.418,OK,"""我购买的商品，使用一段时间后出现质量问题，还能售后吗？"""
