id,ret
1,您好，支持7天无理由退换货。商品需保持完好、不影响二次销售，并保留包装、配件、赠品和购买凭证。非质量问题退换货，寄回运费由买家承担；若是质量问题、错发、漏发或运输破损，运费由我们承担。
2,您好，售后维修主要覆盖商品本身质量故障、性能异常、配件损坏等问题。质保期内非人为故障支持免费维修；如果是摔坏、进水、私拆、使用不当等人为损坏，也可以寄回检测，但维修费、配件费需报价确认后再处理。
3,您好，可以开发票，一般支持电子普通发票；公司抬头需提供准确的公司名称和纳税人识别号。正常情况下，订单完成后1-3个工作日内开具并发送到您的账户或邮箱，具体以财务开票进度为准。
4,您好，收到商品发现包装破损，请先保留外包装、面单和商品，并拍照联系客服。单纯外包装破损一般不影响退换货；如果商品也损坏、缺件或影响使用，可按运输破损售后处理，我们会安排补发、换货或退款。
6,您好，退款会按原支付路径退回。取消订单成功或退货入库审核通过后，一般1-3个工作日提交退款；信用卡支付也会原路退回到原信用卡账户，银行入账可能还需3-7个工作日。
7,您好，非常抱歉给您带来不好的体验。轻微色差可能受拍摄光线和显示器影响，但如果实物颜色与详情页明显不一致，请提供商品照片、详情页截图和订单号，我们核实后可为您安排换货、退货或投诉处理。
8,您好，非常抱歉给您造成困扰。如果商品宣传功能与实际不一致，请提供详情页宣传截图、实际使用视频或照片和订单号。核实确属描述不符后，支持退货退款，并可升级投诉处理。
9,您好，非常抱歉让您久等了！少发商品已承诺补发但一周仍未寄出，属于补发进度异常。请您提供订单号、少发商品明细和此前客服沟通记录，我们会立即核查仓库与补发单；确认未补发的，会优先重新安排补寄，补寄运费由我们承担，并同步反馈物流单号。
10,您好，非常抱歉给您带来不好的售后体验！送修商品超过半个月还未修好，属于维修时效异常。请您提供订单号或维修单号，我们会立即催促维修点给出明确完成时间；若确实超过承诺时效且短期无法修复，可为您申请优先维修、换新、退款或相应补偿处理。
11,您好，非常抱歉。若页面未标注临期，而您收到的商品仅剩1个月保质期，请先不要继续使用，并拍摄生产日期、保质期、包装和订单信息。核实后可为您办理退货退款、换货或投诉处理。
12,您好，非常抱歉让您遇到这样的配送体验。请提供订单号、快递公司、配送时间、快递员信息及相关录音/截图等凭证，我们会协助向物流方投诉，一般会在24-48小时内跟进反馈；若影响收货或商品状态，也会同步处理售后。
13,您好，非常抱歉给您添麻烦。商品使用一次就坏了，若非人为原因，属于质量售后范围。请提供订单号、故障描述和照片/视频，我们会尽快核实，并为您安排退换货、维修或退款；客服未跟进的会为您升级专员处理。
