id,question
1,"""请问你们的商品能提供试用吗？"",
""试用后不满意，能退货吗？运费怎么算？"""
2,"""我购买的商品，发票丢了，还能申请售后吗？"""
3,"""请问你们的物流能加急配送吗？"",
""需要额外收费吗？多久能送达？"""
4,"""我想修改订单的付款方式，能修改吗？"""
5,"""下单后，能修改收货地址吗？"",?
""有时间限制吗？超过时间还能改吗？"""
6,"""我购买的商品，使用时发现商品的功能和详情页描述的不一致，详情页说支持无线充电，实际不支持，而且商品的续航时间也比描述的短很多，要求退货退款并赔偿，请问可以吗？"","
7,"""我购买的商品，售后换货后，收到的新商品仍然存在质量问题，而且和上次的质量问题一样，请问该怎么处理？"""
8,"""我购买的商品，收到后发现商品的说明书缺失，而且商品没有合格证，担心是三无产品，要求退货退款并赔偿，请问可以吗？"""
9,"""我购买的商品，收到后发现商品的型号发错了，而且发错的型号已经停产，无法使用，要求退货退款并赔偿我的损失，请问该怎么处理？"""
10,"""我购买的商品，收到后发现商品的表面有污渍，而且污渍无法清洗，影响正常使用，想申请换货，请问可以吗？"""
11,"""我购买的商品，收到后发现商品的生产日期被涂改过，无法确认商品是否过期，担心食用或使用后影响健康，要求退货退款并赔偿，请问可以吗？"""
12,"""空调遥控器显示小松树是什么意思？https://pic.imgdb.cn/i/033poCe8rSHwi7wi09mL0T.jpg"""
13,"""https://pic.imgdb.cn/i/033poCdVrcjp038bgbUgso.jpg 遥控器显示这个是什么情况？"""
14,"""http://xhslink.com/o/5MuBh306QZY  这怎们办啊？"
15,"""https://pic.imgdb.cn/i/033pmY13nIJy7dnqKp7smf.jpg 这个小提篮是干什么用的？灰的，塑料的"""
16,"""为了避免使用冰箱时造成人身伤害或房屋、物品损坏，需要注意什么？"""
17,"""这款冰箱有温度控制显示面板吗？如果有，请为我介绍一下。"""
18,"""我想在冰箱里存放不同种类的食物，有什么需要注意的吗？"""
19,"""我听说这款冰箱带有低温催化除臭系统，能为我讲解一下这个功能吗？"""
20,"""这款冰箱中的防凝露管是什么？"""
21,"""我的冰箱太脏了，该怎么清洁？"""
22,"""这门怎么拆下来啊？https://pic.imgdb.cn/i/033plkNmDhJ4CtLgVkhn7v.png"""
23,"""https://pic.imgdb.cn/i/033plzDHnyvn9C9hqi5s3B.png 你们烤箱给的配件是干什么用的？"""
24,"""你们烤箱给的这个网子是干什么用的？ https://pic.imgdb.cn/i/033pm7ZJABeeKTRjeqvQL0.png"""
25,"""这个方铁盘是干什么用的啊？https://pic.imgdb.cn/i/033pmJ4N1Ey2CgfYDARBOu.jpg"""
26,"""如何为混合即时相机插入存储卡？"""
27,"""如何使用混合即时相机的闪光灯？"""
28,"""如何使用混合即时相机的自拍功能？"""
29,"""https://pic.imgdb.cn/i/033pofHC9D3F0ZMCKzeH2G.jpg 我相机右边俩点怎么变红了？"""
30,"""关于混合即时相机的剩余相纸指示，你了解哪些内容？"""
31,"""如何使用混合即时相机的指令拨盘？"""
32,"""如何通过电脑为混合即时相机充电？"""
33,"""What are the usage of the three different kinds of warning indicators on my jetski seperately?"""
34,"""Does this jstski have front storage compartment? If so, introduce them."""
35,"""I want to use glove compartment of my jetski, how to realize that?"""
36,"""I've heard that there's adjustable sponson on my jetski. Please introduce it."""
37,"""Does this jstski have fire extinguisher? Where can I find it?"""
38,"""In deep water, how to borad the jetski alone?"""
39,"""When driving, how turn the jetski if necessary?"""
40,"""What should I pay attention to when transporting the jetski?"""
41,"""What does Owner\u2019s/Operator\u2019s Manual and tool kit of my jetski include?"""
42,"""What are the best practices for cleaning and maintaining an electric or manual toothbrush to ensure hygiene and longevity?"""
43,"""What indicators are displayed on the toothbrush handle to show the battery status when it's on the charger or not charged?"""
44,"""What is SenseIQ technology in electric toothbrushes, and how does it work to personalize and improve the brushing experience?"""
45,"""What is the BrushPacer feature in electric toothbrushes, and how does it help improve your brushing technique?"""
46,"""What is BrushSync technology in electric toothbrushes, and how does it enhance the brushing experience by syncing with brush heads?"""
47,"""What are the best practices for storing an electric or manual toothbrush when it is not in use to maintain hygiene and prolong its lifespan?"""
48,"""What precautions should be taken when using a washing machine to ensure safe operation and prevent damage to the machine or clothes?"""
49,"""What is the proper way to rinse clothes to remove detergent and residues effectively, either manually or using a washing machine?"""
50,"""How do you adjust the overflow rinse settings on a washing machine to ensure proper water drainage and effective rinsing?"""
