id,question,route_type,gold_manual,product_or_policy,intent_type,image_need,teacher_image_ids,image_prefixes,inference_source,confidence,retrieval_strategy,image_strategy,teacher_answer
1,"""请问你们家的商品支持7天无理由退换货吗？"",
""需要自己承担运费吗？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，我们店铺支持7天无理由退换货。商品需保持完好、不影响二次销售，并保留完整包装、配件和凭证。若非商品质量问题，退换货运费通常由买家承担；如因商品质量、错发、漏发或运输破损等我方原因产生售后，运费由我们承担。"""
2,"""我想咨询一下，你们的售后维修服务范围是什么？"",
""如果是人为损坏的，能维修吗？维修费用怎么算？""",policy_service,none_policy,通用售后政策,after_sales_repair,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，我们的售后维修服务主要覆盖商品本身的性能故障、质量问题、配件异常等情况。若属于非人为质量问题且在保修范围内，可按售后政策免费维修；若为人为损坏、进水、摔坏、私自拆修等情况，也可以协助检测维修，但费用需根据检测结果、配件和人工成本报价，确认后再处理。"""
3,"""请问你们的商品能开发票吗？发票类型是什么？"",
""多久能收到呢？""",policy_service,none_policy,通用售后政策,invoice,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，我们支持开具发票，可开具普通电子发票；如需公司抬头，请提供准确的公司名称、税号等信息。正常情况下，发票会在订单完成后按流程开具并发送，具体到账或收到时间以系统处理和财务开票进度为准。"""
4,"""我收到商品后，发现包装破损了，怎么办？"",
""影响商品退换货吗？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，若收到商品发现外包装破损，请先拍照保留外包装、面单、商品及破损位置，并及时联系我们客服登记处理。包装破损本身不一定影响退换货，但若导致商品损坏、缺件或影响使用，可按运输破损或质量售后流程处理，我们会协助核实并安排补发、换货或退货。"""
6,"""我想了解一下你们的退款政策，退款多久能到账？"",
""信用卡会原路返回吗？""",policy_service,none_policy,通用售后政策,after_sales_refund,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，退款会按照原支付路径退回。订单取消或退货审核通过后，我们会尽快提交退款，到账时间以支付渠道为准；信用卡支付通常也会原路退回至原信用卡账户，具体入账时间可能受银行处理周期影响。"""
7,"""我收到的商品和图片不一样，颜色偏差很大，我要投诉！""",policy_service,none_policy,通用售后政策,complaint,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，非常抱歉给您带来不好的体验。商品图片可能因拍摄光线、显示设备等存在轻微色差，但若实物颜色与页面描述差异明显，您可以拍摄商品实物、外包装和订单信息联系我们，我们会核实页面展示与发货情况，并为您安排换货、退货或进一步投诉处理。"""
8,"""你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！""",policy_service,none_policy,通用售后政策,complaint,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，非常抱歉给您造成困扰。若您认为商品功能与宣传不一致，请提供详情页宣传截图、商品实测情况、视频或照片等材料，我们会核实商品说明和实际功能。如确认存在描述不符，会为您提供退换货、退款或投诉升级处理。"""
9,"""我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！""",policy_service,none_policy,通用售后政策,logistics,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，非常抱歉补发进度让您久等了。请提供订单号和少发商品信息，我们会立即核查补发记录和物流状态；如确认尚未补发或物流异常，会催促仓库尽快补寄，因漏发产生的补寄运费由我们承担。"""
10,"""你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！""",policy_service,none_policy,通用售后政策,after_sales_repair,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，非常抱歉维修周期给您带来不便。请提供维修单号或订单号，我们会为您查询维修进度并催促处理。若维修超过承诺时效，我们会根据实际情况为您申请优先维修、换新、退款或其他补偿方案。"""
11,"""你们的商品保质期有问题，我收到的商品还有1个月就过期了！""",policy_service,none_policy,通用售后政策,quality_expiry,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，非常抱歉。请您先不要继续使用该商品，并拍照保留生产日期、保质期、包装和订单信息。若页面未明确标注临期或商品不符合售卖标准，我们会核实后为您办理退货退款、换货或投诉处理。"""
12,"""你们的快递员态度特别差，送货时还辱骂我，我要投诉！""",policy_service,none_policy,通用售后政策,logistics,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，非常抱歉让您遇到这样的配送体验。请提供订单号、快递公司、快递员信息及相关凭证，我们会协助向物流方投诉核实，并反馈处理结果。若因此影响收货或商品状态，我们也会同步协助售后处理。"""
13,"""你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！""",policy_service,none_policy,通用售后政策,complaint,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，非常抱歉。请您提供订单号、故障描述、照片或视频，我们会尽快核实。若属于商品质量问题，我们会按售后政策为您安排退换货、维修或退款处理，并督促客服及时跟进。"""
14,"""我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！""",policy_service,none_policy,通用售后政策,complaint,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，非常抱歉给您带来不好的收货体验。请先拍照保留商品外观、包装、封签、污渍位置和订单信息，并不要继续使用商品。我们会核实仓库和物流情况，如确认商品异常，会为您安排退货退款、换货或投诉升级处理。"""
15,"""你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！""",policy_service,none_policy,通用售后政策,complaint,no,,,route_policy,high,跳过手册；走统一售后/物流/发票/投诉模板,不带图,"""您好，非常抱歉。我们销售商品应保证正品，如您验证结果显示异常，请提供验证截图、商品序列号、防伪信息、包装和订单信息。我们会优先核实供应链和商品来源，如确认问题，会按规定为您办理退货退款并升级投诉处理。"""
